ID_LINEA,ROUTE_ID,DIRECTION_ID,DIRECTION_TO,START_DATE,STOP_NAME,ARRIVAL_TIME,ARRIVAL_DELAY,DEPARTURE_TIME,DEPARTURE_DELAY,CREATED_AT
LineaA_A01,LineaA,0,San Pedrito,2024-02-23,Carabobo,2024-02-23 23:00:49,1.0,2024-02-23 23:01:13,1.4,2024-02-23 20:01:16.267
LineaA_A01,LineaA,0,San Pedrito,2024-02-23,San José de Flores,2024-02-23 23:03:49,4.0,2024-02-23 23:04:13,4.4,2024-02-23 20:01:16.267
LineaA_A01,LineaA,0,San Pedrito,2024-02-23,San Pedrito,2024-02-23 23:03:49,4.0,2024-02-23 23:04:13,4.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Juan Manuel de Rosas,2024-02-23 23:01:49,2.0,2024-02-23 23:02:13,2.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Echeverría,2024-02-23 23:02:49,3.0,2024-02-23 23:03:13,3.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,De Los Incas - Parque Chas,2024-02-23 22:59:49,0.0,2024-02-23 23:00:13,0.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Tronador - Villa Ortúzar,2024-02-23 22:59:49,0.0,2024-02-23 23:00:13,0.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Federico Lacroze,2024-02-23 23:01:49,2.0,2024-02-23 23:02:13,2.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Dorrego,2024-02-23 23:03:49,4.0,2024-02-23 23:04:13,4.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Malabia,2024-02-23 23:06:49,7.0,2024-02-23 23:07:13,7.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Ángel Gallardo,2024-02-23 23:07:49,8.0,2024-02-23 23:08:13,8.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Medrano,2024-02-23 23:01:49,2.0,2024-02-23 23:02:13,2.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Carlos Gardel,2024-02-23 23:02:49,3.0,2024-02-23 23:03:13,3.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Pueyrredón,2024-02-23 23:05:49,6.0,2024-02-23 23:06:13,6.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Pasteur,2024-02-23 23:00:49,1.0,2024-02-23 23:01:13,1.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Callao,2024-02-23 23:02:49,3.0,2024-02-23 23:03:13,3.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Uruguay,2024-02-23 23:03:49,4.0,2024-02-23 23:04:13,4.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Carlos Pelegrini,2024-02-23 23:04:49,5.0,2024-02-23 23:05:13,5.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Florida,2024-02-23 23:06:49,7.0,2024-02-23 23:07:13,7.4,2024-02-23 20:01:16.267
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-23,Leandro N. Alem,2024-02-23 23:03:49,4.0,2024-02-23 23:04:13,4.4,2024-02-23 20:01:16.267
LineaB_B01,LineaB,0,Juan Manuel de Rosas,2024-02-23,Leandro N. Alem,2024-02-23 23:03:49,4.0,2024-02-23 23:04:13,4.4,2024-02-23 20:01:16.267
LineaB_B01,LineaB,0,Juan Manuel de Rosas,2024-02-23,Florida,2024-02-23 23:04:49,5.0,2024-02-23 23:05:13,5.4,2024-02-23 20:01:16.267
